transcriptid	prot	description	chrom	strand	cdsStart	cdsEnd	exonStarts	exonEnds
refGene.NM_000421.1	KRT10	keratin 10	chr17	-	36228253	36232363	36227895,36228564,36229294,36229826,36230039,36230288,36230812,36231736,	36228260,36228939,36229512,36229952,36230201,36230445,36230895,36232373,
refGene.NM_000422.1	KRT17	keratin 17	chr17	-	37029371	37034287	37029220,37030313,37030436,37030743,37031370,37032132,37032727,37033855,	37029466,37030336,37030657,37030869,37031532,37032289,37032810,37034335,
refGene.NM_000423.1.inc	KRT2	keratin 2	chr12	-	51325261	51332001	51324609,51325585,51326790,51327780,51328223,51329057,51329964,51330389,51331608,	51325485,51325620,51327011,51327906,51328388,51329153,51330025,51330604,51332226,
refGene.NM_000424.1	KRT5	keratin 5	chr12	-	51194992	51200347	51194627,51195848,51196687,51197157,51197640,51197947,51198153,51198996,51199792,	51195291,51195883,51196908,51197283,51197805,51198043,51198214,51199211,51200510,
refGene.NM_000425.1	L1CAM	L1 cell adhesion molecule isoform 1 precursor	chrX	-	152781311	152794485	152780580,152782016,152782125,152782531,152782970,152783233,152783469,152783736,152783947,152784352,152785297,152785702,152786004,152786448,152786646,152786950,152787209,152787489,152788168,152788451,152788704,152789036,152789438,152789705,152790800,152791240,152791876,152794409,	152781543,152782028,152782198,152782666,152783126,152783353,152783643,152783859,152784149,152784468,152785520,152785773,152786202,152786559,152786771,152787107,152787376,152787601,152788312,152788583,152788889,152789148,152789609,152789828,152791003,152791346,152791891,152794505,
refGene.NM_000427.1	LOR	loricrin	chr1	+	151500049	151500988	151498802,151500026,	151498833,151501222,
refGene.NM_000429.1	MAT1A	methionine adenosyltransferase I, alpha	chr10	-	82023516	82039159	82021556,82024255,82024752,82026111,82029908,82030415,82033651,82035247,82039068,	82023619,82024389,82024935,82026330,82030052,82030528,82033774,82035325,82039414,
refGene.NM_000430.1	PAFAH1B1	platelet-activating factor acetylhydrolase,	chr17	+	2488332	2531846	2443685,2488142,2515415,2516059,2517035,2520206,2522698,2524103,2526548,2530207,2531772,	2444050,2488364,2515500,2516134,2517242,2520375,2522801,2524332,2526650,2530364,2535638,
refGene.NM_000431.1	MVK	mevalonate kinase	chr12	+	108497010	108518765	108495999,108496996,108498185,108501989,108503582,108508209,108508941,108512958,108513428,108517215,108518613,108519293,	108496061,108497088,108498333,108502134,108503738,108508313,108508987,108513049,108513545,108517369,108519284,108519450,
refGene.NM_000432.1	MYL2	slow cardiac myosin regulatory light chain 2	chr12	-	109833263	109842716	109833032,109835282,109835432,109836372,109837901,109841290,109842713,	109833362,109835331,109835511,109836477,109837977,109841380,109842764,
refGene.NM_000433.1	NCF2	neutrophil cytosolic factor 2	chr1	-	181791875	181826087	181791320,181795853,181798952,181799191,181799762,181801461,181802677,181802961,181804899,181806537,181808942,181810244,181813356,181822652,181825913,	181791988,181796031,181799064,181799343,181799788,181801537,181802746,181803103,181804943,181806597,181809050,181810379,181813465,181822735,181826339,
refGene.NM_000435.1.inc	NOTCH3	Notch homolog 3	chr19	-	15133168	15163661	15131443,15134275,15137178,15137597,15139059,15141896,15142141,15142481,15145878,15149335,15150633,15150835,15151174,15151882,15152491,15152771,15153386,15156105,15156716,15157067,15157297,15158688,15158915,15159691,15160045,15160799,15161083,15163234,15163555,15163770,15164187,15169310,15172598,	15133525,15134373,15137326,15137902,15139222,15141981,15142364,15142636,15146211,15149901,15150752,15151093,15151307,15152067,15152639,15152973,15153612,15156261,15156830,15157219,15157490,15158799,15159149,15159805,15160159,15160985,15161239,15163468,15163678,15164109,15164330,15169389,15172792,
refGene.NM_000436.1.inc	OXCT1	3-oxoacid CoA transferase 1 precursor	chr5	-	41785397	41898531	41765924,41775248,41785385,41797969,41829861,41830535,41836880,41838927,41841425,41843189,41876309,41878533,41885888,41889277,41897172,41898500,41906139,	41767629,41775350,41785466,41798059,41829937,41830608,41836929,41839022,41841540,41843297,41876370,41878640,41886038,41889413,41897263,41898609,41906548,
refGene.NM_000437.1	PAFAH2	platelet-activating factor acetylhydrolase 2	chr1	-	26161066	26189894	26158844,26171635,26173557,26175759,26181441,26183023,26183537,26187308,26188525,26189804,26197102,	26161161,26171790,26173728,26175851,26181555,26183165,26183606,26187405,26188679,26189941,26197235,
refGene.NM_000439.1	PCSK1	proprotein convertase subtilisin/kexin type 1	chr5	-	95754460	95794502	95751874,95756323,95758795,95760338,95761412,95769682,95772233,95773777,95777492,95783339,95784772,95787279,95790672,95794322,	95754838,95756485,95758929,95760496,95761646,95769783,95772446,95773950,95777581,95783416,95784919,95787390,95790777,95794708,
refGene.NM_000440.1	PDE6A	phosphodiesterase 6A, alpha subunit	chr5	-	149220650	149304429	149220418,149222874,149225925,149227480,149227850,149243184,149244234,149244535,149246020,149254938,149256111,149256466,149258118,149259130,149263403,149267067,149274698,149281390,149290783,149293685,149294321,149303955,	149220727,149223022,149226009,149227555,149227914,149243292,149244335,149244623,149246130,149255046,149256258,149256532,149258262,149259280,149263451,149267134,149274763,149281465,149290924,149293775,149294474,149304549,
refGene.NM_000441.1	SLC26A4	pendrin	chr7	+	107089322	107143127	107088315,107089319,107090976,107099818,107101844,107102625,107110882,107111135,107116733,107117804,107122083,107122301,107123613,107125722,107127763,107128781,107129507,107132011,107137734,107140219,107143103,	107088536,107089486,107091116,107099929,107102029,107102790,107111035,107111218,107116881,107117918,107122161,107122397,107123720,107125792,107127856,107128877,107129738,107132066,107137880,107140303,107145486,
refGene.NM_000443.1.inc	ABCB4	ATP-binding cassette, subfamily B, member 4	chr7	-	86873569	86920347	86869296,86870386,86873539,86875288,86876487,86879144,86880868,86884563,86885788,86887249,86889372,86891157,86894001,86898655,86906918,86907450,86910570,86910914,86912113,86914285,86917219,86918874,86920195,86921786,86930009,86939872,86942637,86942885,	86869554,86870533,86873746,86875486,86876644,86879285,86880969,86884767,86885872,86887327,86889477,86891304,86894172,86898817,86907089,86907654,86910696,86911025,86912227,86914457,86917344,86919046,86920387,86921844,86930160,86939927,86942723,86942955,
refGene.NM_000444.1	PHEX	X-linked phosphate regulating endopeptidase	chrX	+	21961044	22175991	21960841,21966507,21975088,22004426,22005514,22018467,22022021,22024993,22027044,22039505,22042496,22061560,22096349,22106310,22118481,22140941,22147073,22149650,22154480,22155544,22173370,22175888,	21961162,21966576,21975250,22004513,22005741,22018536,22022138,22025077,22027190,22039599,22042625,22061662,22096427,22106414,22118540,22140996,22147141,22149781,22154546,22155649,22173447,22176397,
refGene.NM_000446.1	PON1	paraoxonase 1	chr7	-	94766191	94791723	94764923,94769452,94773532,94775258,94778698,94782569,94783981,94785570,94791649,	94766350,94769581,94773614,94775459,94778825,94782738,94784037,94785641,94791780,
refGene.NM_000447.1	PSEN2	presenilin 2 isoform 1	chr1	+	225136231	225149903	225125582,225129688,225136211,225138028,225139861,225142414,225143152,225144358,225145601,225146066,225148330,225149747,	225125728,225129874,225136372,225138243,225140003,225142482,225143373,225144457,225145685,225146168,225148449,225150420,
refGene.NM_000448.1	RAG1	recombination activating gene 1	chr11	+	36551430	36554562	36546138,36551416,	36546248,36557871,
refGene.NM_000449.1	RFX5	regulatory factor X, 5	chr1	-	149581285	149585420	149579740,149582441,149582780,149583296,149583516,149583827,149584205,149585027,149585304,149585581,149586310,	149582278,149582542,149582982,149583378,149583636,149583947,149584288,149585061,149585433,149585706,149586393,
refGene.NM_000450.1.inc	SELE	selectin E precursor	chr1	-	167962566	167968617	167958405,167961493,167961671,167962463,167963113,167963503,167963822,167964950,167965252,167966196,167967599,167968379,167969340,167969735,	167960274,167961566,167961693,167962571,167963290,167963692,167964011,167965139,167965438,167966382,167967707,167968763,167969425,167969803,
refGene.NM_000452.1	SLC10A2	solute carrier family 10 (sodium/bile acid	chr13	-	102496483	102516600	102494350,102499639,102501607,102502970,102508614,102516223,	102496611,102499797,102501783,102503059,102508733,102517197,
refGene.NM_000453.1.inc	SLC5A5	solute carrier family 5 (sodium iodide	chr19	+	17844320	17862783	17843781,17845946,17846302,17846472,17847760,17849531,17849772,17852673,17853768,17853957,17855489,17855658,17860139,17862694,17865521,	17844485,17846012,17846354,17846540,17847915,17849672,17849902,17852762,17853881,17854028,17855576,17855855,17860264,17862810,17865897,
refGene.NM_000455.1	STK11	serine/threonine protein kinase 11	chr19	+	1157912	1177646	1156797,1169415,1170322,1171371,1171579,1172211,1172947,1173983,1177452,1178591,	1158202,1169499,1170412,1171504,1171716,1172339,1173005,1174171,1177662,1179434,
refGene.NM_000457.1	HNF4A	hepatocyte nuclear factor 4 alpha isoform b	chr20	+	42463426	42491719	42463337,42468111,42469434,42475747,42476560,42480478,42481774,42486071,42490388,42491576,	42463541,42468286,42469529,42475854,42476716,42480566,42481930,42486308,42490541,42493443,
refGene.NM_000458.1	TCF2	transcription factor 2 isoform a	chr17	-	33121487	33178988	33120547,33133194,33135100,33139036,33144623,33165698,33167662,33173543,33178644,	33121508,33133313,33135295,33139169,33144784,33165934,33167927,33173743,33179182,
refGene.NM_000459.1	TEK	TEK tyrosine kinase, endothelial precursor	chr9	+	27099588	27219230	27099285,27147828,27158492,27159474,27162613,27163219,27170237,27173456,27175482,27180526,27182486,27187312,27192817,27194908,27196579,27199118,27202704,27203481,27207685,27208774,27210046,27218203,27219155,	27099640,27148140,27158603,27159627,27162745,27163360,27170366,27173608,27175627,27180688,27182621,27187597,27193117,27195063,27196790,27199229,27202895,27203595,27207756,27208815,27210143,27218303,27220171,
refGene.NM_000461.1	THRB	thyroid hormone receptor, beta	chr3	-	24139378	24245454	24134709,24143993,24149810,24159995,24163169,24168884,24206568,24245432,24353794,24511146,	24139620,24144252,24149957,24160201,24163317,24168985,24206829,24245496,24353866,24511317,
refGene.NM_000462.1	UBE3A	ubiquitin protein ligase E3A isoform 2	chr15	-	23135376	23204888	23133489,23136324,23150592,23150767,23152131,23152930,23156622,23166805,23171704,23201700,23204859,	23135497,23136468,23150666,23150923,23152296,23153136,23156767,23168052,23172003,23201742,23204888,
refGene.NM_000463.1	UGT1A1	UDP glycosyltransferase 1 family, polypeptide A1	chr2	+	234333672	234345944	234333657,234340418,234341233,234341604,234345646,	234334536,234340550,234341321,234341824,234346684,
refGene.NM_000465.1	BARD1	BRCA1 associated RING domain 1	chr2	-	215301644	215382538	215301521,215303379,215318035,215318690,215325415,215340450,215342200,215353528,215365265,215370029,215382380,	215301977,215303477,215318128,215318823,215325524,215340623,215342281,215354478,215365414,215370086,215382611,
refGene.NM_000466.1	PEX1	peroxin1	chr7	-	91954706	91995685	91954273,91956542,91956963,91958521,91960202,91961542,91961736,91963962,91966953,91968756,91969139,91970290,91971981,91973497,91974243,91976578,91978193,91978829,91981097,91984525,91985390,91986244,91989351,91995556,	91954791,91956673,91957161,91958752,91960379,91961646,91961879,91964027,91967088,91968923,91969329,91970445,91972152,91973594,91974376,91976661,91978297,91978953,91981217,91985292,91985505,91986328,91989495,91995781,
refGene.NM_000474.1	TWIST1	twist	chr7	-	19122860	19123469	19121617,19122818,	19122279,19123820,
refGene.NM_000475.1	NR0B1	nuclear receptor subfamily 0, group B, member 1	chrX	-	30232616	30237401	30232506,30236233,	30232861,30237413,
refGene.NM_000476.1.inc	AK1	adenylate kinase 1	chr9	-	129670164	129674939	129668489,129670420,129673922,129674789,129675125,129676710,129679722,	129670176,129670612,129674039,129674953,129675161,129676751,129679762,
refGene.NM_000478.1.inc	ALPL	tissue non-specific alkaline phosphatase	chr1	+	21759800	21776572	21708444,21753057,21759705,21760176,21762189,21763120,21767183,21769384,21772744,21774812,21775601,21776462,	21708597,21753222,21759825,21760292,21762364,21763296,21767327,21769454,21772879,21775004,21775721,21777491,
refGene.NM_000479.1	AMH	anti-Mullerian hormone	chr19	+	2200331	2202956	2200121,2201335,2201650,2201847,2202097,	2200743,2201478,2201759,2202007,2203071,
refGene.NM_000481.1	AMT	aminomethyltransferase (glycine cleavage system	chr3	-	49429976	49434887	49429215,49430254,49431407,49431696,49432146,49432647,49433928,49434540,49434797,	49430155,49430410,49431588,49431842,49432225,49432779,49434009,49434708,49435016,
refGene.NM_000483.1.inc	APOC2	apolipoprotein C-II precursor	chr19	+	50143605	50144316	50141082,50143562,50143797,50144255,	50141172,50143630,50143957,50144657,
refGene.NM_000484.1	APP	amyloid beta A4 protein precursor, isoform a	chr21	-	26175851	26464809	26174732,26185904,26191755,26199206,26205923,26248774,26249811,26269253,26270137,26276527,26291545,26294200,26316026,26345186,26347422,26384129,26406166,26464752,	26175953,26186051,26191856,26199260,26206145,26248874,26249940,26269412,26270212,26276661,26291602,26294368,26316229,26345380,26347535,26384259,26406334,26465003,
refGene.NM_000485.1	APRT	adenine phosphoribosyltransferase isoform a	chr16	-	87403606	87405808	87403379,87403978,87404331,87405458,87405728,	87403749,87404057,87404465,87405565,87405843,
refGene.NM_000486.1	AQP2	aquaporin 2	chr12	+	48630880	48635658	48630795,48634204,48634679,48635448,	48631240,48634369,48634760,48638929,
refGene.NM_000488.1	SERPINC1	serine (or cysteine) proteinase inhibitor, clade	chr1	-	172139649	172153020	172139565,172143210,172145312,172146514,172147559,172150313,172152979,	172139826,172143275,172145703,172146652,172147775,172150680,172153096,
refGene.NM_000490.1.inc	AVP	arginine vasopressin-neurophysin II	chr20	-	3011323	3013272	3011202,3011622,3013200,	3011448,3011824,3013370,
refGene.NM_000491.1.inc	C1QB	complement component 1, q subcomponent, B chain	chr1	+	22858611	22860391	22852268,22858519,22859891,	22852383,22858723,22860615,
refGene.NM_000492.1	CFTR	cystic fibrosis transmembrane conductance	chr7	+	116907384	117094398	116907252,116931542,116936323,116958188,116961565,116962537,116963837,116967389,116969305,116975930,116986753,117015028,117017642,117019223,117022219,117030115,117030821,117033963,117037808,117038870,117041902,117054811,117069727,117080131,117091977,117092748,117094197,	116907437,116931653,116936432,116958404,116961655,116962701,116963963,116967636,116969398,116976113,116986945,117015123,117017729,117019947,117022348,117030153,117031072,117034043,117037959,117039098,117042003,117055060,117069883,117080221,117092150,117092854,117095952,
refGene.NM_000493.1	COL10A1	collagen, type X, alpha 1 precursor	chr6	-	116547928	116553348	116546778,116553194,116553908,	116549817,116553363,116553989,
refGene.NM_000495.1	NULL	NULL	chrX	+	107570011	107826264	107569809,107669631,107688949,107693767,107698514,107698644,107701298,107701696,107703459,107705795,107707837,107707963,107708176,107710418,107710567,107710868,107712769,107714369,107716500,107720943,107721446,107725394,107726883,107727262,107728587,107731278,107731770,107732849,107736627,107744796,107750144,107751688,107752561,107754121,107755590,107756095,107785216,107795392,107796381,107797018,107798204,107807385,107810564,107810770,107811645,107815916,107817367,107822633,107824692,107825152,107826182,	107570092,107669691,107689039,107693812,107698559,107698707,107701352,107701723,107703540,107705858,107707873,107708005,107708269,107710472,107710624,107710913,107712823,107714411,107716633,107721117,107721530,107725487,107726954,107727454,107728756,107731371,107731875,107732947,107736778,107744910,107750312,107751778,107752711,107754220,107755680,107756235,107785343,107795473,107796480,107797069,107798390,107807519,107810637,107810842,107811774,107816015,107817580,107822811,107824807,107825325,107827431,
refGene.NM_000496.1	CRYBB2	crystallin, beta B2	chr22	+	23947396	23957739	23945611,23947370,23950884,23953819,23955402,23957570,	23945633,23947450,23951003,23953952,23955545,23957837,
refGene.NM_000499.1	CYP1A1	cytochrome P450, family 1, subfamily A,	chr15	-	72799882	72802491	72798943,72800360,72800592,72800807,72800984,72801666,72804834,	72800168,72800447,72800716,72800897,72801111,72802517,72804930,
refGene.NM_000504.1.inc	F10	coagulation factor X preproprotein	chr13	+	112831840	112851688	112825113,112831766,112840771,112841671,112843233,112846165,112849693,112851230,	112825240,112831927,112840796,112841785,112843365,112846410,112849811,112851842,
refGene.NM_000505.1	F12	coagulation factor XII precursor	chr5	-	176761898	176769134	176761746,176762156,176762860,176763087,176763465,176763802,176764105,176764416,176764660,176764929,176765341,176765568,176768652,176769077,	176762066,176762305,176763004,176763224,176763697,176764020,176764271,176764521,176764792,176765040,176765412,176765668,176768710,176769183,
refGene.NM_000507.1	FBP1	fructose-1,6-bisphosphatase 1	chr9	-	96405483	96441413	96405237,96407559,96408917,96412023,96419870,96422431,96441243,	96405675,96407679,96409055,96412164,96419963,96422594,96441624,
refGene.NM_000509.1	FGG	fibrinogen, gamma chain isoform gamma-A	chr4	-	155744941	155753211	155744736,155745498,155747306,155749067,155750231,155750668,155752406,155752619,155752992,155753133,	155744956,155745668,155747584,155749252,155750365,155750799,155752500,155752803,155753037,155753352,
refGene.NM_000515.1	GH1	growth hormone 1 isoform 1	chr17	-	59348400	59349868	59348295,59348851,59349108,59349437,59349858,	59348598,59349016,59349228,59349598,59349930,
refGene.NM_000518.1	HBB	beta globin	chr11	-	5203403	5204827	5203271,5204382,5204735,	5203532,5204605,5204877,
refGene.NM_000519.1	HBD	delta globin	chr11	-	5210769	5212239	5210634,5211796,5212147,	5210898,5212019,5212434,
refGene.NM_000520.1	HEXA	hexosaminidase A preproprotein	chr15	-	70423471	70455367	70422832,70424840,70425629,70425921,70427080,70427442,70428473,70429912,70430527,70432462,70433085,70434953,70435919,70455114,	70423535,70424945,70425720,70426105,70427153,70427529,70428654,70430045,70430629,70432573,70433132,70435019,70436012,70455457,
refGene.NM_000523.1.inc	HOXD13	homeobox D13	chr2	+	176665966	176667602	176665777,176667453,	176666645,176668912,
refGene.NM_000525.1	KCNJ11	potassium inwardly-rectifying channel J11	chr11	-	17365041	17366214	17363373,	17366782,
refGene.NM_000526.1.inc	KRT14	keratin 14	chr17	-	36992914	36996471	36992058,36992871,36993012,36993328,36993537,36994034,36994752,36996087,	36992310,36992918,36993233,36993454,36993699,36994191,36994835,36996673,
refGene.NM_000527.1	LDLR	low density lipoprotein receptor precursor	chr19	+	11061224	11102992	11061131,11071898,11074339,11076895,11078240,11079067,11082327,11083189,11084953,11085210,11087769,11088534,11091767,11092045,11094849,11099683,11101188,11102956,	11061291,11072021,11074462,11077276,11078363,11079190,11082447,11083315,11085125,11085438,11087888,11088674,11091909,11092198,11095020,11099761,11101346,11105490,
refGene.NM_000528.1	MAN2B1	mannosidase, alpha, class 2B, member 1	chr19	-	12618433	12638515	12618321,12619046,12619256,12619988,12620949,12621154,12621726,12621917,12623966,12624176,12627507,12628384,12628762,12629259,12629876,12630037,12630241,12633073,12635130,12635516,12636605,12637165,12637516,12638356,	12618546,12619149,12619412,12620216,12621030,12621242,12621828,12622036,12624084,12624274,12627693,12628501,12628870,12629369,12629955,12630158,12630324,12633190,12635276,12635649,12636799,12637339,12637619,12638828,
refGene.NM_000529.1.inc	MC2R	melanocortin 2 receptor	chr18	-	13874710	13875430	13872042,13905486,	13875645,13905535,
refGene.NM_000530.1.inc	MPZ	myelin protein zero	chr1	-	159542364	159546274	159541150,159542521,159542742,159543121,159543671,159546252,	159542391,159542582,159542878,159543335,159543838,159546377,
refGene.NM_000531.1	OTC	ornithine carbamoyltransferase precursor	chrX	+	38096893	38165279	38096301,38111487,38113992,38125538,38145471,38147814,38152938,38153072,38156058,38165219,	38096970,38111626,38114074,38125626,38145625,38147937,38152992,38153222,38156196,38165553,
refGene.NM_000532.1	PCCB	propionyl Coenzyme A carboxylase, beta	chr3	+	137451907	137531558	137451856,137457387,137458086,137462010,137463483,137485368,137495287,137499483,137502561,137518472,137528334,137528686,137529165,137530289,137531436,	137452090,137457507,137458155,137462067,137463597,137485479,137495396,137499604,137502643,137518596,137528442,137528787,137529264,137530389,137531701,
refGene.NM_000533.1	PLP1	proteolipid protein 1 isoform 1	chrX	+	102918579	102932182	102918409,102927166,102928049,102929382,102930021,102930917,102932110,	102918583,102927353,102928311,102929551,102930095,102930983,102934201,
refGene.NM_000536.1.inc	RAG2	recombination activating gene 2	chr11	-	36570866	36572138	36570070,36576227,	36572321,36576362,
refGene.NM_000537.1	REN	renin precursor	chr1	-	202390766	202402044	202390570,202391570,202391928,202392427,202393111,202395149,202396310,202397042,202397763,202401946,	202390928,202391669,202392070,202392547,202393120,202395346,202396429,202397166,202397914,202402088,
refGene.NM_000539.1	RHO	rhodopsin	chr3	+	130730266	130735251	130730171,130732408,130733783,130734065,130735140,	130730627,130732577,130733949,130734305,130736876,
refGene.NM_000541.1.inc	SAG	S-arrestin	chr2	+	233889504	233915707	233881206,233882546,233889459,233892135,233894014,233896330,233900505,233901862,233902877,233905024,233908346,233912060,233913839,233915655,233919787,233920191,	233881407,233882649,233889520,233892180,233894208,233896390,233900582,233901998,233902962,233905097,233908484,233912138,233913863,233915711,233919797,233920440,
refGene.NM_000543.1	SMPD1	sphingomyelin phosphodiesterase 1, acid	chr11	+	6368404	6372413	6368230,6369189,6371021,6371422,6371701,6372003,	6368722,6369962,6371193,6371499,6371847,6372801,
refGene.NM_000545.1	TCF1	transcription factor 1, hepatic	chr12	+	119900954	119923378	119900931,119911018,119915705,119916349,119918447,119918726,119919659,119921453,119921668,119923250,	119901280,119911218,119915892,119916591,119918599,119918928,119919851,119921575,119921813,119924697,
refGene.NM_000549.1.inc	TSHB	thyroid stimulating hormone, beta precursor	chr1	+	115377545	115378332	115373937,115377505,115378116,	115374004,115377668,115378464,
refGene.NM_000550.1	TYRP1	tyrosinase-related protein 1	chr9	+	12683996	12699182	12683448,12683911,12685514,12688450,12692270,12694525,12697996,12698976,	12683478,12684381,12685837,12688655,12692438,12694705,12698143,12700249,
refGene.NM_000552.1	VWF	von Willebrand factor preproprotein	chr12	-	5928441	6102623	5928300,5929212,5931270,5931817,5932922,5946912,5947553,5948637,5951025,5955537,5961212,5962576,5964471,5964989,5971245,5973288,5973841,5975428,5991043,5991513,5992907,5995515,5995942,5996180,5997791,6001326,6002166,6003057,6005006,6005332,6008768,6010870,6014114,6015814,6023717,6026149,6031969,6036283,6037275,6042380,6043672,6044563,6050723,6051757,6053045,6054761,6074886,6089800,6090292,6100600,6102568,6103847,	5928630,5929310,5931310,5931946,5933021,5947029,5947594,5948818,5951136,5955687,5961418,5962681,5964546,5965092,5971445,5973630,5974034,5975649,5991221,5991557,5993072,5995659,5996083,5996297,5999170,6001462,6002325,6003214,6005120,6005473,6008915,6011005,6014253,6015918,6023878,6026244,6032210,6036499,6037471,6042481,6043811,6044700,6050770,6051869,6053168,6054978,6075011,6090009,6090395,6100765,6102623,6104097,
refGene.NM_000553.1.inc	WRN	Werner syndrome protein	chr8	+	31042046	31134476	31010319,31035429,31036210,31041346,31041972,31044090,31045315,31053230,31057924,31060756,31062223,31064833,31065947,31067522,31067891,31068887,31073825,31077906,31088672,31093411,31097300,31101579,31101965,31109422,31118487,31118738,31119683,31120607,31124110,31124421,31127398,31131681,31134425,31144079,31150052,	31011031,31035601,31036323,31041492,31042121,31044240,31045385,31053345,31058354,31060837,31062304,31064978,31066023,31067590,31068000,31068956,31073908,31078013,31088857,31093586,31097482,31101681,31102058,31109564,31118658,31118833,31119759,31120681,31124186,31124534,31127513,31131813,31134588,31144288,31150818,
refGene.NM_000554.1	CRX	cone-rod homeobox protein	chr19	+	53029512	53035036	53016910,53029477,53031311,53034388,	53017079,53029612,53031463,53038392,
refGene.NM_000557.1	GDF5	growth differentiation factor 5 preproprotein	chr20	-	33485120	33489122	33484562,33488491,	33485995,33489441,
refGene.NM_000562.1.inc	C8A	complement component 8, alpha polypeptide	chr1	+	57113212	57150864	57093066,57105869,57113209,57114322,57119705,57121741,57124187,57144927,57146216,57150663,57155825,	57093239,57105963,57113354,57114470,57119895,57121942,57124428,57145053,57146374,57150886,57156482,
refGene.NM_000565.1	IL6R	interleukin 6 receptor isoform 1 precursor	chr1	+	152644729	152704480	152644292,152668295,152669582,152673618,152674089,152675068,152687224,152689010,152693587,152704233,	152644814,152668544,152669706,152673800,152674256,152675210,152687271,152689080,152693681,152706812,
refGene.NM_000566.1.inc	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor	chr1	+	148022241	148029586	148020911,148021349,148022182,148026545,148028233,148029416,	148020954,148021370,148022437,148026797,148028518,148030697,
refGene.NM_000567.1	CRP	C-reactive protein, pentraxin-related	chr1	-	157949938	157950899	157948703,157950838,	157950552,157951003,
refGene.NM_000572.1	IL10	interleukin 10 precursor	chr1	-	205008603	205012403	205007570,205009796,205010874,205011323,205012238,	205008696,205009862,205011027,205011383,205012462,
refGene.NM_000575.1.inc	IL1A	interleukin 1, alpha proprotein	chr2	-	113249195	113256778	113247963,113252034,113253543,113255651,113256763,113257771,113258490,	113249315,113252159,113253714,113255874,113256812,113257826,113259442,
refGene.NM_000576.1.inc	IL1B	interleukin 1, beta proprotein	chr2	-	113304489	113309631	113303807,113305339,113306709,113307421,113309613,113310230,113310755,	113304621,113305470,113306874,113307623,113309665,113310292,113310827,
refGene.NM_000578.1.inc	SLC11A1	natural resistance-associated macrophage protein	chr2	+	218957224	218967698	218954995,218955926,218957209,218958113,218959601,218960126,218960531,218960766,218962836,218964164,218964342,218965947,218967086,218967598,218967891,	218955342,218956069,218957332,218958233,218959708,218960197,218960599,218960922,218962995,218964254,218964462,218966097,218967160,218967752,218969860,
refGene.NM_000583.1	GC	vitamin D-binding protein precursor	chr4	-	72830756	72868599	72826276,72830731,72837098,72838991,72839558,72841292,72842622,72847988,72848384,72850012,72852881,72853911,72868541,	72826451,72830786,72837231,72839089,72839688,72841495,72842752,72848083,72848517,72850224,72853014,72853981,72868752,
refGene.NM_000584.1	IL8	interleukin 8 precursor	chr4	+	74825239	74827045	74825138,74826122,74826529,74827029,	74825303,74826258,74826613,74828295,
refGene.NM_000586.1	IL2	interleukin 2 precursor	chr4	-	123592356	123597045	123592075,123594314,123596748,123596898,	123592467,123594458,123596808,123597100,
refGene.NM_000587.1	C7	complement component 7 precursor	chr5	+	40945469	41017432	40945355,40964438,40966922,40970183,40972196,40973410,40981056,40983460,40985762,40991245,40993891,40995307,40997943,41000599,41008261,41012608,41015583,41017250,	40945475,40964494,40966998,40970325,40972344,40973549,40981227,40983704,40985873,40991412,40994120,40995479,40998031,41000732,41008453,41012699,41015768,41018796,
refGene.NM_000588.1.inc	IL3	interleukin 3 precursor	chr5	+	131424343	131426338	131424245,131424558,131425903,131426117,131426260,	131424460,131424600,131425993,131426159,131426795,
refGene.NM_000589.1	IL4	interleukin 4 isoform 1 precursor	chr5	+	132037641	132046178	132037271,132038049,132043304,132046076,	132037776,132038097,132043481,132046267,
refGene.NM_000590.1	IL9	interleukin 9 precursor	chr5	-	135255978	135259404	135255833,135257607,135259027,135259142,135259290,	135256098,135257739,135259060,135259178,135259415,
refGene.NM_000596.1.inc	IGFBP1	insulin-like growth factor binding protein 1	chr7	+	45894854	45899137	45894483,45896671,45898055,45899083,	45895125,45896841,45898184,45899791,
refGene.NM_000597.1	IGFBP2	insulin-like growth factor binding protein 2,	chr2	+	217206491	217237072	217206371,217233524,217234825,217236907,	217206933,217233754,217234966,217237401,
refGene.NM_000599.1	IGFBP5	insulin-like growth factor binding protein 5	chr2	-	217249718	217267743	217245073,217251079,217251817,217267406,	217249850,217251199,217252047,217268516,
refGene.NM_000600.1.inc	IL6	interleukin 6 (interferon, beta 2)	chr7	+	22733631	22737654	22733344,22733587,22734836,22735657,22737549,	22733425,22733778,22734950,22735804,22738141,
refGene.NM_000602.1.inc	SERPINE1	plasminogen activator inhibitor-1	chr7	+	100558514	100567003	100557171,100558393,100560421,100561875,100563695,100565494,100565715,100567001,100567405,	100557245,100558665,100560655,100562070,100563894,100565595,100565802,100567085,100569026,
